id,essay_id,of1,of2,of3,cf1,cf2,cf3,ef1,ef2,ef3,af1,af2,af3,nf1,nf2,nf3,model,temperature,input_tokens,output_tokens
45,12,8,6,7,2,6,8,5,5,5,4,7,4,7,2,5,gpt-5-mini-2025-08-07,0,951,1215
46,12,8,6,7,2,3,6,5,5,6,3,6,3,8,2,5,gpt-5-mini-2025-08-07,0,808,1215
47,12,7,6,7,3,6,7,5,4,7,6,7,4,8,2,5,gpt-5-mini-2025-08-07,0,695,1215
48,12,8,6,7,2,6,7,5,5,7,5,8,4,8,2,4,gpt-5-mini-2025-08-07,0,759,1215
49,13,5,5,5,2,4,6,7,3,6,6,6,5,6,2,7,gpt-5-mini-2025-08-07,0,887,1275
50,13,3,5,5,2,4,5,7,3,5,6,7,5,6,2,6,gpt-5-mini-2025-08-07,0,631,1275
51,13,5,6,4,2,3,4,7,3,5,6,7,5,6,2,5,gpt-5-mini-2025-08-07,0,695,1275
52,13,5,6,5,2,4,4,7,3,5,6,7,6,6,2,7,gpt-5-mini-2025-08-07,0,759,1275
53,13,4,5,5,2,3,4,7,3,6,6,7,4,7,2,7,gpt-5-mini-2025-08-07,0,631,1275
54,13,5,5,5,2,4,5,7,3,5,6,7,5,6,2,7,gpt-5-mini-2025-08-07,0,695,1275
55,13,5,5,5,2,3,5,7,3,5,6,7,6,6,2,5,gpt-5-mini-2025-08-07,0,631,1275
56,13,5,5,4,2,4,6,7,3,6,6,7,5,6,2,6,gpt-5-mini-2025-08-07,0,808,1275
57,13,5,6,5,2,4,5,7,3,3,6,7,5,7,2,7,gpt-5-mini-2025-08-07,0,759,1275
58,13,5,5,4,2,3,5,7,3,4,6,7,5,6,2,5,gpt-5-mini-2025-08-07,0,759,1275
59,14,4,6,7,2,3,4,8,6,8,3,4,5,5,2,7,gpt-5-mini-2025-08-07,0,823,1610
60,14,5,6,6,2,3,3,8,5,8,4,4,5,6,3,8,gpt-5-mini-2025-08-07,0,631,1610
61,14,5,6,7,2,3,3,8,6,8,5,4,5,6,3,8,gpt-5-mini-2025-08-07,0,695,1610
62,14,4,6,7,2,3,5,8,6,9,4,4,6,7,3,8,gpt-5-mini-2025-08-07,0,759,1610
63,14,6,6,7,2,2,4,8,5,8,5,3,5,6,3,7,gpt-5-mini-2025-08-07,0,759,1610
64,14,5,6,7,2,2,4,8,6,9,4,4,6,6,2,8,gpt-5-mini-2025-08-07,0,759,1610
65,14,6,6,7,2,2,3,8,6,9,6,3,6,6,2,8,gpt-5-mini-2025-08-07,0,631,1610
66,14,5,6,7,2,3,3,8,6,9,4,4,5,6,3,8,gpt-5-mini-2025-08-07,0,567,1610
67,14,5,5,7,2,2,3,8,6,9,3,4,4,6,3,8,gpt-5-mini-2025-08-07,0,795,1610
68,14,5,6,7,2,2,4,8,4,8,5,4,6,6,3,8,gpt-5-mini-2025-08-07,0,760,1610
69,15,3,3,4,2,2,3,7,4,5,3,6,4,6,2,4,gpt-5-mini-2025-08-07,0,759,705
70,15,5,4,4,2,3,3,7,5,5,2,5,4,5,2,4,gpt-5-mini-2025-08-07,0,759,705
71,15,5,4,4,2,2,3,7,5,5,3,6,5,5,2,3,gpt-5-mini-2025-08-07,0,823,705
72,15,3,3,3,2,2,4,6,3,4,4,6,5,5,2,4,gpt-5-mini-2025-08-07,0,695,705
73,15,4,2,3,2,2,3,7,4,4,3,6,3,6,2,5,gpt-5-mini-2025-08-07,0,731,705
74,15,6,4,5,2,2,3,7,5,5,3,6,4,5,2,3,gpt-5-mini-2025-08-07,0,1015,705
75,15,3,3,3,2,2,4,6,4,4,3,5,4,5,2,3,gpt-5-mini-2025-08-07,0,631,705
76,15,3,3,4,2,2,3,6,4,5,3,6,4,4,2,3,gpt-5-mini-2025-08-07,0,631,705
77,15,4,2,4,2,3,4,6,4,5,3,5,4,5,2,3,gpt-5-mini-2025-08-07,0,695,705
78,15,3,2,3,2,2,3,6,4,4,2,6,5,6,2,4,gpt-5-mini-2025-08-07,0,695,705
79,16,2,2,2,3,3,5,4,6,5,2,2,3,6,2,7,gpt-5-mini-2025-08-07,0,744,507
80,16,2,3,3,2,3,4,4,5,6,2,1,2,6,2,7,gpt-5-mini-2025-08-07,0,759,507
81,16,2,3,2,2,2,4,5,6,5,2,2,3,5,2,7,gpt-5-mini-2025-08-07,0,951,507
82,16,2,3,2,3,3,4,5,6,5,3,2,3,6,2,6,gpt-5-mini-2025-08-07,0,823,507
83,16,2,3,3,4,4,5,4,5,4,3,2,3,6,2,6,gpt-5-mini-2025-08-07,0,759,507
84,16,2,3,2,3,3,4,5,4,6,2,2,4,6,2,7,gpt-5-mini-2025-08-07,0,808,507
85,16,2,3,2,2,4,5,4,6,4,2,2,3,6,3,6,gpt-5-mini-2025-08-07,0,695,507
86,16,2,3,3,4,4,5,4,6,5,2,2,3,6,3,7,gpt-5-mini-2025-08-07,0,695,507
87,16,3,2,3,3,4,5,5,6,4,2,2,3,6,2,6,gpt-5-mini-2025-08-07,0,631,507
88,16,2,3,3,2,3,3,3,5,5,2,2,3,6,2,6,gpt-5-mini-2025-08-07,0,759,507
89,17,9,8,7,7,6,6,5,7,4,4,4,3,5,3,2,gpt-5-mini-2025-08-07,0,695,1089
90,17,9,8,7,6,4,6,5,7,5,6,5,3,4,3,2,gpt-5-mini-2025-08-07,0,631,1089
91,17,9,8,7,6,6,6,4,7,5,5,5,3,5,4,2,gpt-5-mini-2025-08-07,0,567,1089
92,17,9,8,7,6,4,6,5,7,5,5,4,3,6,3,2,gpt-5-mini-2025-08-07,0,680,1089
93,17,9,8,7,5,4,5,5,8,4,4,4,3,4,3,3,gpt-5-mini-2025-08-07,0,631,1089
94,17,9,8,7,7,5,6,5,7,5,5,4,3,5,2,3,gpt-5-mini-2025-08-07,0,631,1089
95,17,9,8,7,7,5,6,5,6,4,3,5,3,4,3,2,gpt-5-mini-2025-08-07,0,744,1089
96,17,9,8,7,5,4,5,5,7,5,4,4,3,6,3,3,gpt-5-mini-2025-08-07,0,759,1089
97,17,9,8,7,6,5,6,4,7,5,4,4,3,6,4,5,gpt-5-mini-2025-08-07,0,631,1089
98,17,9,7,7,6,5,6,5,7,5,4,5,3,6,4,3,gpt-5-mini-2025-08-07,0,695,1089
99,18,6,6,6,2,3,5,6,4,4,4,7,4,5,2,3,gpt-5-mini-2025-08-07,0,823,913
100,18,6,6,7,2,3,4,5,4,3,4,7,4,5,3,6,gpt-5-mini-2025-08-07,0,695,913
101,18,6,6,7,2,3,4,5,3,4,4,6,5,6,2,5,gpt-5-mini-2025-08-07,0,744,913
102,18,6,7,8,2,3,5,6,4,4,5,7,6,4,2,6,gpt-5-mini-2025-08-07,0,823,913
103,18,6,6,7,2,2,4,6,5,4,5,6,5,6,2,5,gpt-5-mini-2025-08-07,0,887,913
104,18,6,6,7,2,3,3,6,3,4,6,8,5,5,2,4,gpt-5-mini-2025-08-07,0,695,913
105,18,7,6,7,2,3,5,5,3,4,5,7,5,5,2,5,gpt-5-mini-2025-08-07,0,759,913
106,18,6,6,7,2,2,3,6,3,4,5,7,5,5,2,6,gpt-5-mini-2025-08-07,0,695,913
107,18,6,6,7,2,2,4,6,4,4,4,6,5,5,3,5,gpt-5-mini-2025-08-07,0,823,913
108,18,6,6,7,2,2,4,6,3,3,5,8,4,4,2,5,gpt-5-mini-2025-08-07,0,744,913
109,19,7,4,3,7,8,8,6,4,6,3,7,5,3,2,2,gpt-5-mini-2025-08-07,0,631,704
110,19,7,3,3,6,7,8,5,3,6,3,7,5,3,2,3,gpt-5-mini-2025-08-07,0,760,704
111,19,7,2,3,3,6,7,6,4,5,3,7,5,2,2,2,gpt-5-mini-2025-08-07,0,759,704
112,19,7,3,3,4,6,7,6,4,6,3,6,5,3,2,2,gpt-5-mini-2025-08-07,0,695,704
113,19,7,4,3,7,7,7,5,4,6,4,6,5,3,2,2,gpt-5-mini-2025-08-07,0,744,704
114,19,6,3,3,6,7,7,6,4,5,3,6,6,2,2,2,gpt-5-mini-2025-08-07,0,567,704
115,19,6,3,3,6,7,7,5,3,6,4,8,6,3,2,2,gpt-5-mini-2025-08-07,0,695,704
116,19,6,2,3,4,6,7,6,3,5,2,7,5,3,2,2,gpt-5-mini-2025-08-07,0,631,704
117,19,7,3,2,8,8,8,6,4,6,3,7,5,3,2,2,gpt-5-mini-2025-08-07,0,759,704
118,19,7,3,4,7,7,8,6,4,6,4,6,5,3,2,2,gpt-5-mini-2025-08-07,0,567,704
119,20,6,5,6,2,3,5,4,2,3,6,6,3,8,4,7,gpt-5-mini-2025-08-07,0,695,1158
120,20,6,6,7,2,3,5,5,3,4,6,5,3,7,5,8,gpt-5-mini-2025-08-07,0,759,1158
121,20,7,6,7,1,3,5,5,2,3,6,6,2,7,4,5,gpt-5-mini-2025-08-07,0,887,1158
122,20,6,6,7,2,3,5,5,3,2,6,5,2,8,4,7,gpt-5-mini-2025-08-07,0,731,1158
123,20,7,6,7,2,2,5,5,3,2,6,6,2,8,4,6,gpt-5-mini-2025-08-07,0,759,1158
124,20,7,6,7,2,2,5,5,3,3,5,5,3,8,4,6,gpt-5-mini-2025-08-07,0,744,1158
125,20,6,6,7,2,3,5,5,3,2,6,6,3,8,4,8,gpt-5-mini-2025-08-07,0,759,1158
126,20,6,6,7,2,2,5,4,3,2,5,5,3,8,4,7,gpt-5-mini-2025-08-07,0,951,1158
127,20,6,6,7,1,3,5,5,2,4,5,6,2,8,4,7,gpt-5-mini-2025-08-07,0,759,1158
128,20,6,6,7,2,2,5,5,3,3,5,5,3,7,4,7,gpt-5-mini-2025-08-07,0,1015,1158
129,21,2,4,3,7,6,7,8,3,4,6,5,5,7,5,6,gpt-5-mini-2025-08-07,0,823,949
130,21,4,4,3,6,5,7,6,4,4,6,6,5,7,5,6,gpt-5-mini-2025-08-07,0,823,949
131,21,4,4,3,6,5,7,7,3,4,5,7,5,7,6,5,gpt-5-mini-2025-08-07,0,823,949
132,21,3,3,2,6,5,6,7,3,3,6,6,4,6,5,6,gpt-5-mini-2025-08-07,0,1015,949
133,21,3,4,3,4,4,6,7,3,3,6,7,5,7,6,6,gpt-5-mini-2025-08-07,0,695,949
134,21,3,3,3,5,5,6,7,2,4,6,6,6,6,5,5,gpt-5-mini-2025-08-07,0,1079,949
135,21,4,4,3,5,5,6,8,3,4,6,6,4,7,5,6,gpt-5-mini-2025-08-07,0,759,949
136,21,3,3,3,7,6,7,7,3,4,6,6,5,7,5,6,gpt-5-mini-2025-08-07,0,759,949
137,21,4,4,3,4,4,6,8,3,4,6,6,5,7,5,6,gpt-5-mini-2025-08-07,0,952,949
138,21,4,3,3,6,6,6,8,3,4,5,7,4,7,6,6,gpt-5-mini-2025-08-07,0,823,949
139,22,5,6,4,2,5,8,6,7,7,5,3,3,9,6,8,gpt-5-mini-2025-08-07,0,1143,1115
140,22,5,6,4,2,4,6,7,5,6,7,4,3,8,6,8,gpt-5-mini-2025-08-07,0,823,1115
141,22,5,5,4,2,3,7,7,6,6,7,3,3,9,6,8,gpt-5-mini-2025-08-07,0,695,1115
142,22,5,6,4,2,5,7,6,6,6,7,4,3,9,7,8,gpt-5-mini-2025-08-07,0,759,1115
143,22,6,6,5,3,5,8,7,6,6,7,4,4,9,7,8,gpt-5-mini-2025-08-07,0,951,1115
144,22,6,6,4,2,3,7,7,6,8,8,3,3,8,7,8,gpt-5-mini-2025-08-07,0,631,1115
145,22,5,5,4,2,3,7,7,7,6,6,3,4,8,6,8,gpt-5-mini-2025-08-07,0,823,1115
146,22,5,6,4,2,4,6,6,5,4,7,3,3,8,7,8,gpt-5-mini-2025-08-07,0,759,1115
147,22,4,5,4,2,3,5,7,6,6,6,3,3,8,7,8,gpt-5-mini-2025-08-07,0,759,1115
148,22,6,5,4,3,5,7,7,6,5,7,4,4,9,7,8,gpt-5-mini-2025-08-07,0,951,1115
149,73,5,2,4,2,5,6,3,6,7,2,3,3,8,2,7,gpt-5-mini-2025-08-07,0,759,612
150,73,3,2,3,2,5,6,4,7,6,2,3,3,7,2,6,gpt-5-mini-2025-08-07,0,631,612
151,73,4,2,3,2,4,5,5,7,6,2,3,3,8,2,7,gpt-5-mini-2025-08-07,0,603,612
152,73,5,2,4,2,4,5,3,6,6,2,2,3,7,2,7,gpt-5-mini-2025-08-07,0,759,612
153,73,4,2,3,2,4,5,4,6,6,2,3,3,7,2,6,gpt-5-mini-2025-08-07,0,631,612
154,73,4,2,3,2,4,5,5,7,7,2,3,3,7,2,7,gpt-5-mini-2025-08-07,0,680,612
155,73,4,2,3,2,4,5,4,6,7,2,3,3,8,2,7,gpt-5-mini-2025-08-07,0,631,612
156,73,3,2,3,2,3,4,4,7,7,2,3,3,8,2,7,gpt-5-mini-2025-08-07,0,567,612
157,73,3,2,3,2,5,6,4,6,7,2,4,3,7,2,6,gpt-5-mini-2025-08-07,0,923,612
158,73,4,2,3,2,4,5,5,6,7,3,4,3,7,2,6,gpt-5-mini-2025-08-07,0,695,612
159,74,3,4,6,1,2,3,5,7,8,2,2,3,5,2,7,gpt-5-mini-2025-08-07,0,695,1516
160,74,4,4,6,2,2,3,5,6,7,2,2,3,5,3,7,gpt-5-mini-2025-08-07,0,808,1516
161,74,4,5,6,1,2,3,6,6,8,2,2,3,5,2,8,gpt-5-mini-2025-08-07,0,759,1516
162,74,3,3,6,1,2,3,6,7,7,2,2,2,5,2,7,gpt-5-mini-2025-08-07,0,759,1516
163,74,3,4,6,2,2,3,5,6,7,2,2,3,5,2,7,gpt-5-mini-2025-08-07,0,759,1516
164,74,4,3,5,1,2,3,6,7,8,2,1,2,5,2,8,gpt-5-mini-2025-08-07,0,759,1516
165,74,4,4,6,2,3,3,5,7,8,2,2,3,5,3,8,gpt-5-mini-2025-08-07,0,759,1516
166,74,4,3,6,1,2,3,6,7,8,2,2,3,5,2,7,gpt-5-mini-2025-08-07,0,823,1516
167,74,4,3,6,2,2,4,5,6,8,3,2,3,5,3,7,gpt-5-mini-2025-08-07,0,759,1516
168,74,2,3,6,1,1,2,4,7,8,1,1,2,5,1,8,gpt-5-mini-2025-08-07,0,823,1516
169,23,4,3,5,3,4,6,7,4,6,8,7,6,5,4,6,gpt-5-mini-2025-08-07,0,951,835
170,23,3,3,5,2,4,7,8,5,7,8,7,6,4,2,6,gpt-5-mini-2025-08-07,0,823,835
171,23,3,3,5,3,5,6,8,5,6,8,7,6,4,3,6,gpt-5-mini-2025-08-07,0,1015,835
172,23,3,2,5,3,4,7,8,4,6,8,7,6,3,3,5,gpt-5-mini-2025-08-07,0,823,835
173,23,3,3,6,3,4,7,7,5,6,8,7,6,4,3,6,gpt-5-mini-2025-08-07,0,951,835
174,23,3,3,4,3,5,6,8,4,6,8,7,6,4,3,6,gpt-5-mini-2025-08-07,0,823,835
175,23,3,3,5,3,4,5,8,5,6,8,7,6,4,3,5,gpt-5-mini-2025-08-07,0,695,835
176,23,3,3,5,2,5,6,8,4,7,8,7,7,4,3,5,gpt-5-mini-2025-08-07,0,759,835
177,23,4,3,5,3,6,7,8,4,7,9,7,7,4,3,6,gpt-5-mini-2025-08-07,0,951,835
178,23,4,3,4,3,4,6,8,6,6,8,7,6,3,3,5,gpt-5-mini-2025-08-07,0,695,835
179,24,5,6,6,6,4,6,8,3,6,4,3,5,7,4,8,gpt-5-mini-2025-08-07,0,887,1080
180,24,5,6,4,5,5,6,7,4,5,5,4,3,7,4,8,gpt-5-mini-2025-08-07,0,1079,1080
181,24,4,6,5,5,4,5,7,3,6,4,4,4,7,3,8,gpt-5-mini-2025-08-07,0,759,1080
182,24,4,5,4,5,4,5,7,3,6,4,3,4,6,3,7,gpt-5-mini-2025-08-07,0,695,1080
183,24,5,7,5,5,5,6,8,5,6,4,4,3,7,3,7,gpt-5-mini-2025-08-07,0,695,1080
184,24,4,6,5,3,4,5,7,3,6,5,4,4,8,4,7,gpt-5-mini-2025-08-07,0,823,1080
185,24,5,7,5,5,4,5,7,4,5,6,4,4,6,3,7,gpt-5-mini-2025-08-07,0,823,1080
186,24,5,6,4,3,4,5,7,4,6,5,4,4,7,4,7,gpt-5-mini-2025-08-07,0,695,1080
187,24,5,6,4,5,4,5,7,3,5,5,3,4,6,4,6,gpt-5-mini-2025-08-07,0,1079,1080
188,24,4,7,4,4,3,5,8,3,6,5,4,3,7,3,8,gpt-5-mini-2025-08-07,0,1015,1080
189,25,6,2,3,4,6,7,8,5,7,7,5,6,6,2,6,gpt-5-mini-2025-08-07,0,887,1294
190,25,6,3,3,4,5,7,8,5,7,7,5,6,6,2,6,gpt-5-mini-2025-08-07,0,823,1294
191,25,7,2,3,5,6,8,8,3,6,7,6,7,7,3,6,gpt-5-mini-2025-08-07,0,695,1294
192,25,7,2,3,4,6,7,8,5,7,7,6,6,6,2,6,gpt-5-mini-2025-08-07,0,759,1294
193,25,7,3,4,4,6,7,8,6,7,6,5,6,6,2,6,gpt-5-mini-2025-08-07,0,887,1294
194,25,5,2,3,5,5,7,8,4,6,7,5,6,6,2,6,gpt-5-mini-2025-08-07,0,759,1294
195,25,6,2,3,5,6,7,8,5,7,6,6,6,6,2,5,gpt-5-mini-2025-08-07,0,872,1294
196,25,6,2,3,4,7,8,8,3,7,6,5,6,6,2,5,gpt-5-mini-2025-08-07,0,759,1294
197,25,7,2,3,3,7,7,8,5,7,7,6,6,6,2,7,gpt-5-mini-2025-08-07,0,823,1294
198,25,6,3,4,5,6,7,8,6,7,6,6,7,6,2,6,gpt-5-mini-2025-08-07,0,823,1294
199,26,7,3,6,3,4,6,7,3,4,7,7,6,7,3,4,gpt-5-mini-2025-08-07,0,759,951
200,26,6,4,5,3,5,6,7,3,4,6,7,6,7,2,4,gpt-5-mini-2025-08-07,0,503,951
201,26,5,3,5,2,3,6,7,3,6,7,7,5,8,2,4,gpt-5-mini-2025-08-07,0,695,951
202,26,7,3,6,3,5,7,7,3,5,7,7,6,8,2,5,gpt-5-mini-2025-08-07,0,631,951
203,26,6,4,5,4,5,7,7,4,5,7,8,5,8,2,4,gpt-5-mini-2025-08-07,0,795,951
204,26,6,3,5,4,5,7,7,4,6,7,7,6,8,2,4,gpt-5-mini-2025-08-07,0,631,951
205,26,6,4,5,3,5,7,7,3,5,7,8,6,8,2,3,gpt-5-mini-2025-08-07,0,631,951
206,26,7,3,5,3,5,7,8,3,5,7,7,6,7,3,4,gpt-5-mini-2025-08-07,0,759,951
207,26,6,3,5,2,3,6,7,3,5,6,8,4,7,3,3,gpt-5-mini-2025-08-07,0,631,951
208,26,6,4,6,3,4,6,7,4,5,7,7,6,8,3,4,gpt-5-mini-2025-08-07,0,695,951
209,27,2,3,3,2,3,6,8,6,6,3,5,5,4,2,6,gpt-5-mini-2025-08-07,0,695,607
210,27,2,3,2,2,4,6,8,6,5,3,4,6,5,2,6,gpt-5-mini-2025-08-07,0,695,607
211,27,2,4,3,2,5,6,8,6,5,3,6,6,5,2,6,gpt-5-mini-2025-08-07,0,631,607
212,27,3,3,3,2,4,6,8,6,4,4,5,5,6,2,6,gpt-5-mini-2025-08-07,0,631,607
213,27,3,3,3,2,5,6,8,5,6,3,4,6,4,2,6,gpt-5-mini-2025-08-07,0,887,607
214,27,2,3,2,2,4,6,8,6,4,3,6,6,5,3,6,gpt-5-mini-2025-08-07,0,695,607
215,27,3,3,2,2,5,7,8,6,6,4,5,5,5,2,6,gpt-5-mini-2025-08-07,0,823,607
216,27,2,3,2,2,4,6,8,6,6,4,6,5,5,2,6,gpt-5-mini-2025-08-07,0,631,607
217,27,2,3,2,2,3,6,8,6,4,3,3,5,6,2,6,gpt-5-mini-2025-08-07,0,823,607
218,27,2,4,2,2,5,6,8,7,6,2,5,5,6,3,6,gpt-5-mini-2025-08-07,0,631,607
219,28,7,7,8,2,5,4,5,3,7,6,5,4,6,2,7,gpt-5-mini-2025-08-07,0,823,1354
220,28,7,7,8,2,3,4,6,3,7,6,5,5,6,2,7,gpt-5-mini-2025-08-07,0,759,1354
221,28,7,7,8,2,5,5,5,3,8,6,5,4,6,2,6,gpt-5-mini-2025-08-07,0,808,1354
222,28,7,7,8,2,6,5,6,3,6,6,6,4,5,3,6,gpt-5-mini-2025-08-07,0,695,1354
223,28,7,6,8,2,3,4,6,4,6,6,5,4,6,3,7,gpt-5-mini-2025-08-07,0,887,1354
224,28,6,6,8,2,3,4,5,3,7,6,5,3,6,2,7,gpt-5-mini-2025-08-07,0,759,1354
225,28,7,7,8,2,3,4,6,3,7,6,5,4,5,2,7,gpt-5-mini-2025-08-07,0,680,1354
226,28,7,7,8,2,3,4,6,4,7,6,5,4,6,2,6,gpt-5-mini-2025-08-07,0,759,1354
227,28,7,7,8,2,3,4,6,3,7,6,4,5,6,2,7,gpt-5-mini-2025-08-07,0,667,1354
228,28,6,6,7,2,5,5,5,3,6,6,5,4,6,2,7,gpt-5-mini-2025-08-07,0,808,1354
229,29,5,7,6,2,3,5,4,2,3,6,7,3,8,7,7,gpt-5-mini-2025-08-07,0,567,1539
230,29,4,6,6,2,3,4,5,3,3,6,7,3,8,8,7,gpt-5-mini-2025-08-07,0,552,1539
231,29,6,6,7,2,2,5,6,3,3,7,7,3,8,7,7,gpt-5-mini-2025-08-07,0,759,1539
232,29,6,7,6,2,3,5,4,3,2,6,7,3,8,8,7,gpt-5-mini-2025-08-07,0,759,1539
233,29,6,7,7,2,3,6,4,5,3,7,8,3,8,7,7,gpt-5-mini-2025-08-07,0,759,1539
234,29,6,8,7,2,2,5,4,3,3,6,7,2,8,7,7,gpt-5-mini-2025-08-07,0,567,1539
235,29,5,7,7,2,3,5,7,3,3,7,8,2,8,8,8,gpt-5-mini-2025-08-07,0,759,1539
236,29,5,6,7,2,3,5,5,3,3,6,7,3,8,7,7,gpt-5-mini-2025-08-07,0,823,1539
237,29,6,7,7,2,3,5,6,4,3,7,8,2,8,7,7,gpt-5-mini-2025-08-07,0,695,1539
238,29,5,6,6,2,3,4,4,3,3,6,7,3,8,7,7,gpt-5-mini-2025-08-07,0,759,1539
239,30,4,5,6,3,4,5,8,3,6,9,7,3,8,5,7,gpt-5-mini-2025-08-07,0,887,1172
240,30,4,5,6,3,5,6,7,3,6,8,7,3,8,6,7,gpt-5-mini-2025-08-07,0,823,1172
241,30,4,5,6,2,3,4,7,3,5,8,7,3,8,5,7,gpt-5-mini-2025-08-07,0,695,1172
242,30,4,3,6,3,4,5,7,3,6,8,7,3,8,5,7,gpt-5-mini-2025-08-07,0,744,1172
243,30,5,4,7,2,5,5,8,3,7,9,7,3,8,6,8,gpt-5-mini-2025-08-07,0,823,1172
244,30,4,3,6,3,4,5,8,4,6,8,7,4,8,5,7,gpt-5-mini-2025-08-07,0,695,1172
