id,hash,entry_id,repeat,of3b,cf2b,cf3b,ef3b,af1b,of1,of2,of5,cf3,cf5,ef2,ef4,ef5,af1,af3,af6,nf1,nf4,nf6,model,input_tokens,output_tokens
12,9d6e9ef871683a07118a465895ff348ee6ac3b3176b943dc921395f211e043a9,5,2,8,6,5,3,5,3,7,8,4,5,4,5,2,4,4,6,4,4,3,gpt-5-mini-2025-08-07,874,911
13,748f22b8eb62623cf4d24aa55b8e1c6b376340e5ac7047b160f6a580d51c2a6b,29,0,7,5,4,6,5,4,8,7,4,4,3,6,5,5,4,7,5,6,6,gpt-5-mini-2025-08-07,1002,735
14,748f22b8eb62623cf4d24aa55b8e1c6b376340e5ac7047b160f6a580d51c2a6b,29,1,7,6,5,6,6,4,8,7,4,6,3,6,5,5,4,7,5,6,7,gpt-5-mini-2025-08-07,1003,735
15,748f22b8eb62623cf4d24aa55b8e1c6b376340e5ac7047b160f6a580d51c2a6b,29,2,7,6,4,5,6,3,8,7,3,6,3,5,3,4,4,7,6,7,6,gpt-5-mini-2025-08-07,1066,735
16,748f22b8eb62623cf4d24aa55b8e1c6b376340e5ac7047b160f6a580d51c2a6b,29,0,8,5,4,5,6,4,8,7,4,5,3,5,3,5,4,7,6,6,7,gpt-5-mini-2025-08-07,1066,735
17,748f22b8eb62623cf4d24aa55b8e1c6b376340e5ac7047b160f6a580d51c2a6b,29,1,7,5,5,6,5,3,8,8,4,6,4,6,4,5,4,7,5,7,6,gpt-5-mini-2025-08-07,938,735
18,748f22b8eb62623cf4d24aa55b8e1c6b376340e5ac7047b160f6a580d51c2a6b,29,2,7,4,4,6,6,3,8,7,4,3,3,6,4,4,3,7,5,7,6,gpt-5-mini-2025-08-07,1258,735
19,2f0cb472ca44dcef3eb7eff0340f254624416d5a6b404a9a457affc628dd1f88,2,0,7,6,6,4,5,3,7,6,6,6,3,6,2,5,4,6,3,4,3,gpt-5-mini-2025-08-07,1003,893
20,2f0cb472ca44dcef3eb7eff0340f254624416d5a6b404a9a457affc628dd1f88,2,1,5,6,5,4,5,2,6,6,5,5,3,5,2,4,3,5,3,5,3,gpt-5-mini-2025-08-07,1066,893
21,2f0cb472ca44dcef3eb7eff0340f254624416d5a6b404a9a457affc628dd1f88,2,2,6,6,7,5,5,2,7,7,7,6,4,6,2,5,4,6,2,4,3,gpt-5-mini-2025-08-07,811,893
22,569a9a3c99978dd0291bbd1118302cdd8ab947723b49772e6f0861fab08d2db3,4,0,7,7,8,5,4,3,6,7,7,6,5,6,3,3,5,5,4,3,4,gpt-5-mini-2025-08-07,1066,948
23,569a9a3c99978dd0291bbd1118302cdd8ab947723b49772e6f0861fab08d2db3,4,1,6,6,7,5,4,2,5,6,7,7,5,6,3,3,4,5,4,6,3,gpt-5-mini-2025-08-07,1194,948
24,569a9a3c99978dd0291bbd1118302cdd8ab947723b49772e6f0861fab08d2db3,4,2,7,6,7,5,5,3,6,6,7,6,5,5,3,3,5,4,4,5,3,gpt-5-mini-2025-08-07,1130,948
25,fb8a8877139ab01f33d968069bfabcdd8a4ddc9b05ce96adf2313a5e4304fd32,7,0,8,7,8,8,8,5,8,8,7,6,5,8,3,5,7,7,4,5,5,gpt-5-mini-2025-08-07,1194,1429
26,324b9e2edeb762c9b62e115479a3e79546005b9c7c5c0faf7e2223a8aa7c3221,6,0,8,6,5,6,7,7,8,8,5,4,5,6,7,4,6,7,6,6,7,gpt-5-mini-2025-08-07,1066,1268
27,324b9e2edeb762c9b62e115479a3e79546005b9c7c5c0faf7e2223a8aa7c3221,6,1,9,6,5,6,8,8,8,8,4,5,4,6,7,5,6,8,6,6,7,gpt-5-mini-2025-08-07,1258,1268
28,324b9e2edeb762c9b62e115479a3e79546005b9c7c5c0faf7e2223a8aa7c3221,6,2,8,6,5,5,8,7,8,8,5,4,5,6,7,5,6,7,6,7,7,gpt-5-mini-2025-08-07,1003,1268
29,586cd636a8dfcc323b62d7ef3f661a7dbfc876d2e32d0b627c3d98faa6952718,12,0,4,6,6,4,5,2,5,6,6,5,5,5,2,5,3,4,2,3,3,gpt-5-mini-2025-08-07,1067,823
30,586cd636a8dfcc323b62d7ef3f661a7dbfc876d2e32d0b627c3d98faa6952718,12,1,4,6,6,4,5,2,5,6,6,6,5,5,2,5,4,5,3,6,3,gpt-5-mini-2025-08-07,874,823
31,586cd636a8dfcc323b62d7ef3f661a7dbfc876d2e32d0b627c3d98faa6952718,12,2,6,6,5,5,4,3,5,7,4,6,5,5,3,3,3,4,2,2,2,gpt-5-mini-2025-08-07,1066,823
32,70c2860554b7b7f750c5489bc949d2730bd4b8c545db8d4569d64336d6d5dbe4,13,0,7,6,4,5,2,2,6,7,4,3,2,6,2,2,2,2,3,3,2,gpt-5-mini-2025-08-07,1130,768
33,70c2860554b7b7f750c5489bc949d2730bd4b8c545db8d4569d64336d6d5dbe4,13,1,8,5,4,5,4,2,6,7,3,3,3,5,2,3,3,3,2,4,4,gpt-5-mini-2025-08-07,1067,768
34,70c2860554b7b7f750c5489bc949d2730bd4b8c545db8d4569d64336d6d5dbe4,13,2,7,5,3,4,3,2,7,7,3,3,2,5,2,4,3,3,4,3,4,gpt-5-mini-2025-08-07,1258,768
35,a2248df719831317ef91eabd63ee54265b6e12c45166e6a3e8c56c128fdf763d,14,0,8,7,6,7,5,6,6,7,6,6,7,7,6,5,5,5,2,5,2,gpt-5-mini-2025-08-07,939,851
36,a2248df719831317ef91eabd63ee54265b6e12c45166e6a3e8c56c128fdf763d,14,1,8,7,6,7,4,7,7,7,5,6,6,7,6,4,3,6,4,6,3,gpt-5-mini-2025-08-07,1195,851
37,a2248df719831317ef91eabd63ee54265b6e12c45166e6a3e8c56c128fdf763d,14,2,8,7,7,7,5,7,7,7,6,6,6,7,4,4,4,6,4,6,5,gpt-5-mini-2025-08-07,1002,851
38,9edc02af9170d91a8c360be2bfb7a46534d398a264745c2cce11172b406dbe87,15,0,7,4,6,6,6,5,8,8,6,5,5,6,3,4,5,7,4,6,6,gpt-5-mini-2025-08-07,1002,924
39,9edc02af9170d91a8c360be2bfb7a46534d398a264745c2cce11172b406dbe87,15,1,6,5,6,4,5,4,8,8,6,6,4,5,3,4,4,6,5,4,5,gpt-5-mini-2025-08-07,1067,924
40,9edc02af9170d91a8c360be2bfb7a46534d398a264745c2cce11172b406dbe87,15,2,7,5,6,4,4,5,8,7,5,6,3,5,3,4,3,6,4,3,4,gpt-5-mini-2025-08-07,938,924
41,9e25ab7c3fcdfefd1c5cce7070d56407900b1535f9a333b34be337702865f48d,16,0,8,6,5,5,7,4,7,7,4,6,5,6,3,5,6,7,3,3,5,gpt-5-mini-2025-08-07,1258,901
42,9e25ab7c3fcdfefd1c5cce7070d56407900b1535f9a333b34be337702865f48d,16,1,8,7,5,6,7,7,8,8,5,7,4,6,3,5,5,7,3,3,5,gpt-5-mini-2025-08-07,1451,901
43,9e25ab7c3fcdfefd1c5cce7070d56407900b1535f9a333b34be337702865f48d,16,2,8,7,5,5,7,6,7,8,5,6,5,5,3,5,6,7,3,2,6,gpt-5-mini-2025-08-07,1386,901
44,b8bb9ed5b8de281729ae666ca2b45fcf8213f7ebcf8e36eecc0fbb95426a0150,17,0,6,5,7,5,7,3,7,7,6,6,5,6,3,4,7,6,5,5,5,gpt-5-mini-2025-08-07,1194,1391
45,b8bb9ed5b8de281729ae666ca2b45fcf8213f7ebcf8e36eecc0fbb95426a0150,17,1,6,5,5,6,6,2,5,6,4,5,7,6,4,3,6,6,5,5,3,gpt-5-mini-2025-08-07,938,1391
46,dadd74d9f537ae5651f86d859d83cefe8a15f6f06c2b327d723c989b2247e0bf,18,0,7,6,7,4,4,4,6,8,5,4,5,5,3,4,3,3,5,7,6,gpt-5-mini-2025-08-07,1066,693
47,dadd74d9f537ae5651f86d859d83cefe8a15f6f06c2b327d723c989b2247e0bf,18,1,7,6,6,4,5,5,6,8,5,4,4,5,3,5,4,5,6,7,6,gpt-5-mini-2025-08-07,1003,693
48,dadd74d9f537ae5651f86d859d83cefe8a15f6f06c2b327d723c989b2247e0bf,18,2,7,5,6,5,5,6,6,8,5,4,4,5,3,5,5,4,6,7,6,gpt-5-mini-2025-08-07,938,693
49,a2679aa1be8b298eff3c810b911075c54850082118dfe3a6c39714a971822007,41,0,5,5,6,5,6,3,4,4,6,5,4,5,4,5,5,6,3,3,3,gpt-5-mini-2025-08-07,874,496
50,a2679aa1be8b298eff3c810b911075c54850082118dfe3a6c39714a971822007,41,1,4,3,5,5,5,2,5,4,4,3,4,5,3,4,4,5,4,3,3,gpt-5-mini-2025-08-07,874,496
51,a2679aa1be8b298eff3c810b911075c54850082118dfe3a6c39714a971822007,41,2,5,4,5,6,4,3,5,4,4,3,5,6,4,5,4,5,2,2,3,gpt-5-mini-2025-08-07,1130,496
52,bff0d3587767b3d7d9ca7f2ccf3d2bc1544982c5db745130a3534b622e1889fe,44,0,5,5,6,5,5,2,6,5,5,5,3,5,3,4,4,5,2,2,3,gpt-5-mini-2025-08-07,897,513
53,bff0d3587767b3d7d9ca7f2ccf3d2bc1544982c5db745130a3534b622e1889fe,44,1,5,5,5,4,5,2,5,6,5,5,3,5,2,5,4,6,2,2,3,gpt-5-mini-2025-08-07,1002,513
54,bff0d3587767b3d7d9ca7f2ccf3d2bc1544982c5db745130a3534b622e1889fe,44,2,4,4,5,5,5,2,6,5,6,6,3,6,3,5,3,6,2,2,5,gpt-5-mini-2025-08-07,875,513
55,a9d13daac65f0a5663a40e6638df2aaf172ab2ab178e031c9d5da098394e04ef,71,0,5,6,7,4,4,2,6,4,6,6,5,5,2,5,3,6,2,3,3,gpt-5-mini-2025-08-07,874,518
56,a9d13daac65f0a5663a40e6638df2aaf172ab2ab178e031c9d5da098394e04ef,71,1,4,5,6,5,5,2,6,3,6,5,6,5,3,5,5,5,2,3,3,gpt-5-mini-2025-08-07,810,518
57,a9d13daac65f0a5663a40e6638df2aaf172ab2ab178e031c9d5da098394e04ef,71,2,4,6,6,3,4,2,6,4,6,5,6,5,2,5,4,6,2,2,2,gpt-5-mini-2025-08-07,810,518
58,045a955a02ecd5d29c82f68b9f1c6e4918995d312621ecaaa2fcf48cea6eecfd,19,0,8,6,5,4,7,6,9,8,6,6,3,5,3,5,4,7,6,6,7,gpt-5-mini-2025-08-07,1066,878
59,045a955a02ecd5d29c82f68b9f1c6e4918995d312621ecaaa2fcf48cea6eecfd,19,1,8,4,5,3,7,5,9,8,4,5,3,4,2,5,4,8,6,6,7,gpt-5-mini-2025-08-07,1066,878
60,045a955a02ecd5d29c82f68b9f1c6e4918995d312621ecaaa2fcf48cea6eecfd,19,2,8,6,5,4,7,6,9,8,5,4,3,5,2,5,5,8,4,6,6,gpt-5-mini-2025-08-07,1002,878
61,74d207d62f309d7fb0c6ddba6515b4153178bf72365d90beedd52d9e7c9a56d2,20,0,6,7,6,7,4,2,7,8,6,6,6,7,5,4,3,6,4,5,5,gpt-5-mini-2025-08-07,746,888
62,74d207d62f309d7fb0c6ddba6515b4153178bf72365d90beedd52d9e7c9a56d2,20,1,8,7,7,7,6,4,8,8,6,6,6,7,4,5,4,6,4,5,5,gpt-5-mini-2025-08-07,938,888
63,74d207d62f309d7fb0c6ddba6515b4153178bf72365d90beedd52d9e7c9a56d2,20,2,7,6,6,7,4,2,7,7,6,5,7,7,5,4,4,6,5,3,4,gpt-5-mini-2025-08-07,1002,888
64,1e2c54c9d1dcb0558d45c4d3f37f7e229209eb22c5d7ba9f78a5ffe153ca17ed,22,0,8,5,5,5,5,3,8,7,5,4,5,5,3,5,4,6,6,4,6,gpt-5-mini-2025-08-07,1002,725
65,1e2c54c9d1dcb0558d45c4d3f37f7e229209eb22c5d7ba9f78a5ffe153ca17ed,22,1,7,5,4,6,5,2,7,6,4,4,6,6,3,5,4,5,5,3,5,gpt-5-mini-2025-08-07,1002,725
66,1e2c54c9d1dcb0558d45c4d3f37f7e229209eb22c5d7ba9f78a5ffe153ca17ed,22,2,7,5,5,5,6,3,8,7,4,6,5,4,3,6,4,6,5,4,5,gpt-5-mini-2025-08-07,1002,725
67,50f4b6062641df74602ea4edaa2d8810b068561c9ac6da14bf90d0c8ee6d5350,42,0,3,5,5,6,4,2,6,4,4,4,4,6,3,5,3,6,2,3,3,gpt-5-mini-2025-08-07,810,504
68,50f4b6062641df74602ea4edaa2d8810b068561c9ac6da14bf90d0c8ee6d5350,42,1,3,5,5,4,4,1,5,3,5,5,4,5,2,5,3,5,2,2,2,gpt-5-mini-2025-08-07,1194,504
69,50f4b6062641df74602ea4edaa2d8810b068561c9ac6da14bf90d0c8ee6d5350,42,2,3,4,6,5,4,2,5,4,5,5,4,6,3,5,4,5,2,3,3,gpt-5-mini-2025-08-07,810,504
70,6637bcf642eac67154b157292f38bf6061dd5841316f8bcc70ec5a876d98909b,70,0,3,5,5,6,3,2,4,3,5,4,5,6,2,5,3,3,2,3,3,gpt-5-mini-2025-08-07,1194,514
71,6637bcf642eac67154b157292f38bf6061dd5841316f8bcc70ec5a876d98909b,70,1,4,5,6,5,4,1,5,3,5,5,3,5,3,5,3,4,2,2,3,gpt-5-mini-2025-08-07,1194,514
72,6637bcf642eac67154b157292f38bf6061dd5841316f8bcc70ec5a876d98909b,70,2,3,5,5,5,3,2,5,3,4,5,4,6,3,4,3,3,3,3,3,gpt-5-mini-2025-08-07,746,514
73,30b5f7bd3f66a448424ab9d6f1b634d6dd2ae90f88c6821e9816cb9668433130,21,0,6,5,4,5,4,2,6,8,3,5,5,6,2,3,3,3,2,3,3,gpt-5-mini-2025-08-07,1066,848
74,30b5f7bd3f66a448424ab9d6f1b634d6dd2ae90f88c6821e9816cb9668433130,21,1,7,6,4,5,6,2,7,8,4,5,4,5,3,3,4,5,3,4,3,gpt-5-mini-2025-08-07,1066,848
75,30b5f7bd3f66a448424ab9d6f1b634d6dd2ae90f88c6821e9816cb9668433130,21,2,6,5,5,5,6,3,7,8,4,5,5,6,3,3,4,5,4,4,4,gpt-5-mini-2025-08-07,875,848
76,727c1d44812226df864cf9a8f2eca1a4efd9ac2ea3d81251fa33dec3c939b0c2,24,0,7,4,6,5,6,3,8,5,5,5,6,4,3,6,5,7,4,4,4,gpt-5-mini-2025-08-07,810,550
77,727c1d44812226df864cf9a8f2eca1a4efd9ac2ea3d81251fa33dec3c939b0c2,24,1,6,3,4,4,5,2,7,5,4,4,6,4,3,5,3,5,3,4,3,gpt-5-mini-2025-08-07,1066,550
78,727c1d44812226df864cf9a8f2eca1a4efd9ac2ea3d81251fa33dec3c939b0c2,24,2,6,3,5,3,6,2,6,6,5,4,5,4,2,5,4,6,2,3,3,gpt-5-mini-2025-08-07,1066,550
79,a70719d9a39a8b42157704807c48d6e67c0a00b7c6aec5ac4ae6eda09443a8ac,23,0,7,5,5,5,5,3,6,7,4,5,6,6,3,3,3,4,6,4,5,gpt-5-mini-2025-08-07,1066,859
80,a70719d9a39a8b42157704807c48d6e67c0a00b7c6aec5ac4ae6eda09443a8ac,23,1,7,5,4,6,6,3,6,7,4,5,6,6,4,3,5,5,6,3,5,gpt-5-mini-2025-08-07,1066,859
81,a70719d9a39a8b42157704807c48d6e67c0a00b7c6aec5ac4ae6eda09443a8ac,23,2,7,6,5,6,5,3,7,7,5,5,6,6,3,3,4,5,6,3,5,gpt-5-mini-2025-08-07,1386,859
82,ec2b093d336ad0d20d13a2ecaf96da2ca8a9645b07443c0ce53472368697dda2,26,0,8,7,6,6,3,3,8,8,6,7,5,6,3,3,3,4,5,6,5,gpt-5-mini-2025-08-07,1002,974
83,ec2b093d336ad0d20d13a2ecaf96da2ca8a9645b07443c0ce53472368697dda2,26,1,8,6,6,7,4,6,8,8,6,6,6,7,4,3,4,5,3,6,5,gpt-5-mini-2025-08-07,1003,974
84,ec2b093d336ad0d20d13a2ecaf96da2ca8a9645b07443c0ce53472368697dda2,26,2,8,7,5,6,5,3,8,8,5,6,6,6,3,4,4,5,4,6,5,gpt-5-mini-2025-08-07,1002,974
85,a3c8e76996ce9704d56b2f088071c13f4d3597fa776770b75101fe30a1dc4527,25,0,7,6,6,7,4,4,8,7,7,5,6,7,7,7,4,7,2,3,4,gpt-5-mini-2025-08-07,1067,813
86,a3c8e76996ce9704d56b2f088071c13f4d3597fa776770b75101fe30a1dc4527,25,1,6,5,4,6,5,3,7,7,6,3,5,6,7,6,3,6,2,3,3,gpt-5-mini-2025-08-07,1066,813
87,a3c8e76996ce9704d56b2f088071c13f4d3597fa776770b75101fe30a1dc4527,25,2,6,6,7,7,6,3,8,6,7,5,6,7,7,7,4,7,2,3,3,gpt-5-mini-2025-08-07,1066,813
88,85c34307bb78f64bd728a199cd7230cedd5af20f50c69de10a8a4a3fc016b4dc,27,0,7,4,5,5,6,4,7,7,4,3,5,5,6,3,4,6,3,5,3,gpt-5-mini-2025-08-07,939,705
89,85c34307bb78f64bd728a199cd7230cedd5af20f50c69de10a8a4a3fc016b4dc,27,1,7,5,6,5,6,6,8,7,6,4,5,5,6,4,3,6,3,5,3,gpt-5-mini-2025-08-07,1066,705
90,85c34307bb78f64bd728a199cd7230cedd5af20f50c69de10a8a4a3fc016b4dc,27,2,8,5,4,4,6,6,8,7,4,4,5,5,4,3,4,7,5,6,5,gpt-5-mini-2025-08-07,874,705
91,9c1b3c16031597539c3959c32b0d535e9cfd12154b2f6ac91455317a7ecbe984,43,0,6,3,4,5,5,2,8,4,4,5,4,6,3,5,3,5,2,3,3,gpt-5-mini-2025-08-07,938,509
92,9c1b3c16031597539c3959c32b0d535e9cfd12154b2f6ac91455317a7ecbe984,43,1,5,5,6,6,5,2,6,5,6,6,6,6,4,5,4,5,2,3,3,gpt-5-mini-2025-08-07,874,509
93,9c1b3c16031597539c3959c32b0d535e9cfd12154b2f6ac91455317a7ecbe984,43,2,3,5,6,6,4,2,5,3,5,5,6,6,4,5,3,4,2,2,3,gpt-5-mini-2025-08-07,1002,509
94,efc8c8d842d4baab52dfa6e0960de5e9d7c89258810f5bd3a07da9f98c938f42,28,0,5,5,5,4,4,2,7,6,4,5,3,5,2,3,3,3,5,3,2,gpt-5-mini-2025-08-07,1002,818
95,efc8c8d842d4baab52dfa6e0960de5e9d7c89258810f5bd3a07da9f98c938f42,28,1,5,5,5,5,4,2,6,7,5,4,4,5,3,4,4,4,3,3,3,gpt-5-mini-2025-08-07,1258,818
96,efc8c8d842d4baab52dfa6e0960de5e9d7c89258810f5bd3a07da9f98c938f42,28,2,6,6,6,5,5,3,7,7,5,5,4,5,3,4,4,4,3,5,3,gpt-5-mini-2025-08-07,1194,818
97,07479ef262877a2a4a845204b9f6bfb1bd19f8b0c769e5c868c27c4f6d0c4f29,257,0,7,6,5,4,4,3,6,7,4,4,6,6,3,3,3,3,5,7,5,gpt-5-mini-2025-08-07,1130,920
98,07479ef262877a2a4a845204b9f6bfb1bd19f8b0c769e5c868c27c4f6d0c4f29,257,1,7,5,4,6,4,3,6,7,4,4,6,6,5,3,3,3,4,7,5,gpt-5-mini-2025-08-07,1130,920
99,07479ef262877a2a4a845204b9f6bfb1bd19f8b0c769e5c868c27c4f6d0c4f29,257,2,7,6,5,6,3,3,6,7,5,5,6,6,4,3,3,3,4,6,5,gpt-5-mini-2025-08-07,746,920
100,61ade4af78e2063613a0960b2cac5e73bb7697c6c926a132b9d0eb0d7b747721,361,0,7,6,6,5,4,5,7,7,5,6,5,6,3,3,3,7,7,8,8,gpt-5-mini-2025-08-07,1002,999
101,61ade4af78e2063613a0960b2cac5e73bb7697c6c926a132b9d0eb0d7b747721,361,1,8,7,5,5,6,7,7,8,5,6,5,6,4,4,4,7,7,8,7,gpt-5-mini-2025-08-07,1130,999
102,61ade4af78e2063613a0960b2cac5e73bb7697c6c926a132b9d0eb0d7b747721,361,2,8,7,6,5,5,7,7,8,6,8,5,6,3,3,4,7,7,8,8,gpt-5-mini-2025-08-07,810,999
103,1b8772cf384acbcee23b18398d16010ccc234f0837db54cd45eb3669d9ba91f4,31,0,3,4,6,6,4,2,4,4,6,6,6,7,3,4,3,3,2,3,2,gpt-5-mini-2025-08-07,874,691
104,1b8772cf384acbcee23b18398d16010ccc234f0837db54cd45eb3669d9ba91f4,31,1,5,6,8,5,4,2,6,6,8,7,4,5,3,5,4,4,3,4,3,gpt-5-mini-2025-08-07,938,691
105,1b8772cf384acbcee23b18398d16010ccc234f0837db54cd45eb3669d9ba91f4,31,2,3,4,6,6,4,2,5,6,6,5,6,6,3,5,3,4,4,3,3,gpt-5-mini-2025-08-07,1066,691
106,1506284badeb19a8064d05da57292e00f6454cea196e5c703e698a4326b7f1d2,30,0,5,7,8,5,4,4,6,7,7,7,4,6,3,5,3,5,6,6,5,gpt-5-mini-2025-08-07,1108,828
107,1506284badeb19a8064d05da57292e00f6454cea196e5c703e698a4326b7f1d2,30,1,6,6,7,6,3,5,7,6,6,6,5,6,3,5,3,5,6,6,5,gpt-5-mini-2025-08-07,1066,828
108,1506284badeb19a8064d05da57292e00f6454cea196e5c703e698a4326b7f1d2,30,2,5,6,7,6,4,3,6,5,6,6,4,6,3,5,3,4,4,6,4,gpt-5-mini-2025-08-07,1066,828
109,b059f372856ab3cb3920d72d00241e366dea9cf19009b8ff5141fabcffca0610,32,0,8,5,5,4,7,5,9,8,4,5,5,6,3,6,4,8,3,5,5,gpt-5-mini-2025-08-07,1068,981
110,b059f372856ab3cb3920d72d00241e366dea9cf19009b8ff5141fabcffca0610,32,1,8,6,6,6,7,6,9,8,5,5,5,6,4,5,4,7,3,6,4,gpt-5-mini-2025-08-07,1002,981
111,b059f372856ab3cb3920d72d00241e366dea9cf19009b8ff5141fabcffca0610,32,2,8,5,4,5,6,5,9,8,4,5,6,6,4,5,4,7,3,6,5,gpt-5-mini-2025-08-07,1002,981
112,fe55a67398f513ca226d0a400cda68f6de36da583f66ed0d18c500553f90b385,33,0,5,5,6,5,7,2,7,7,6,5,4,5,2,5,6,7,5,6,6,gpt-5-mini-2025-08-07,1130,818
113,fe55a67398f513ca226d0a400cda68f6de36da583f66ed0d18c500553f90b385,33,1,6,5,6,4,7,3,8,7,6,5,4,4,2,5,6,7,5,5,6,gpt-5-mini-2025-08-07,1066,818
114,fe55a67398f513ca226d0a400cda68f6de36da583f66ed0d18c500553f90b385,33,2,6,5,6,4,7,3,7,7,5,4,3,4,2,5,5,7,5,4,5,gpt-5-mini-2025-08-07,1258,818
115,fab65cac475cfa1b52fb9157d1e22dff2b6e1b3aba241a6620708b938df34a74,35,0,3,4,4,4,4,1,6,3,4,3,2,5,2,5,3,5,2,2,2,gpt-5-mini-2025-08-07,1130,508
116,fab65cac475cfa1b52fb9157d1e22dff2b6e1b3aba241a6620708b938df34a74,35,1,3,4,4,4,3,1,4,3,4,4,2,4,2,4,3,5,2,2,2,gpt-5-mini-2025-08-07,874,508
117,fab65cac475cfa1b52fb9157d1e22dff2b6e1b3aba241a6620708b938df34a74,35,2,2,4,5,3,4,1,5,3,5,4,2,4,2,5,3,5,2,2,2,gpt-5-mini-2025-08-07,810,508
118,f7fb9bb719c12820485c95d15ec08f7cb4c0e16cdcc984f057b87b1463a27de9,36,0,3,6,7,5,3,1,4,2,6,6,3,6,2,5,3,4,2,3,3,gpt-5-mini-2025-08-07,810,509
119,f7fb9bb719c12820485c95d15ec08f7cb4c0e16cdcc984f057b87b1463a27de9,36,1,2,5,7,4,2,1,3,3,7,6,2,5,2,3,3,3,2,2,2,gpt-5-mini-2025-08-07,1002,509
120,f7fb9bb719c12820485c95d15ec08f7cb4c0e16cdcc984f057b87b1463a27de9,36,2,3,7,7,6,3,1,3,3,8,7,2,6,2,4,4,3,2,2,3,gpt-5-mini-2025-08-07,874,509
121,45751a3404dfb02b44bdbd04dcd3210f9acf6ce8d0b084147d9ad776a4b26c85,34,0,8,7,6,7,7,7,8,7,6,6,6,7,5,6,5,7,5,3,5,gpt-5-mini-2025-08-07,1003,1208
122,45751a3404dfb02b44bdbd04dcd3210f9acf6ce8d0b084147d9ad776a4b26c85,34,1,9,7,6,7,7,7,9,8,6,4,6,7,6,5,5,8,7,6,8,gpt-5-mini-2025-08-07,1322,1208
123,45751a3404dfb02b44bdbd04dcd3210f9acf6ce8d0b084147d9ad776a4b26c85,34,2,8,6,5,5,7,7,8,7,5,4,6,6,6,5,4,7,6,6,7,gpt-5-mini-2025-08-07,1258,1208
124,a52acf4d04009cea701191d2a53c9ec86992df92dd12b6a59a377b521b3a873d,37,0,4,6,6,5,4,2,7,5,6,5,5,5,3,5,5,5,2,2,3,gpt-5-mini-2025-08-07,682,542
125,a52acf4d04009cea701191d2a53c9ec86992df92dd12b6a59a377b521b3a873d,37,1,4,5,5,5,4,1,8,4,5,5,4,6,3,5,6,6,2,2,2,gpt-5-mini-2025-08-07,1066,542
126,a52acf4d04009cea701191d2a53c9ec86992df92dd12b6a59a377b521b3a873d,37,2,5,5,7,5,5,2,7,5,6,6,5,6,3,5,5,7,2,3,3,gpt-5-mini-2025-08-07,874,542
127,badfbe3d11b3bbc87583a7ebd934d09edd4b7f94b8bf4a09f72152b110bd601e,38,0,3,6,7,5,5,2,6,5,6,6,3,6,3,5,4,5,2,3,3,gpt-5-mini-2025-08-07,938,567
