id,essay_id,repeat,of3b,cf2b,cf3b,ef3b,af1b,of1,of2,of5,cf3,cf5,ef2,ef4,ef5,af1,af3,af6,nf1,nf4,nf6,model,input_tokens,output_tokens
37,1,0,3,5,6,6,3,2,3,7,5,4,6,5,7,4,3,4,5,6,6,gpt-5-nano-2025-08-07,1624,1173
38,1,1,4,4,6,5,4,3,4,6,7,4,6,5,7,4,3,4,6,6,6,gpt-5-nano-2025-08-07,1645,1173
39,1,2,4,5,7,5,3,2,3,6,6,4,6,5,7,5,2,5,4,5,6,gpt-5-nano-2025-08-07,1432,1173
40,1,3,4,4,5,4,3,3,3,5,6,4,6,5,6,4,3,4,6,6,6,gpt-5-nano-2025-08-07,1432,1173
41,10,0,5,5,5,6,7,4,6,5,4,4,7,6,6,5,6,7,8,8,7,gpt-5-mini-2025-08-07,982,966
42,10,1,5,4,3,6,7,3,4,6,3,3,6,6,6,5,6,7,8,8,7,gpt-5-mini-2025-08-07,790,966
43,10,2,5,3,5,6,7,6,5,4,4,3,7,6,6,3,6,7,8,8,8,gpt-5-mini-2025-08-07,982,966
44,10,3,4,3,3,6,7,5,5,4,3,3,6,5,7,5,6,6,8,8,7,gpt-5-mini-2025-08-07,918,966
45,1,0,5,6,6,5,4,4,3,6,6,4,6,6,7,4,3,5,6,6,6,gpt-5-nano-2025-08-07,1688,1173
46,1,1,4,4,6,5,4,2,3,5,5,3,6,5,7,3,2,4,6,6,7,gpt-5-nano-2025-08-07,1325,1173
47,1,2,4,4,6,5,3,2,3,6,6,5,7,6,7,4,3,4,7,6,7,gpt-5-nano-2025-08-07,1689,1173
48,1,3,4,4,7,5,3,3,3,5,6,5,6,5,6,5,2,3,6,7,7,gpt-5-nano-2025-08-07,1816,1173
49,11,0,4,4,6,2,4,2,3,5,6,4,3,2,2,4,3,4,6,5,6,gpt-5-mini-2025-08-07,790,1075
50,11,1,5,5,6,2,2,4,2,4,6,3,3,2,2,3,2,3,5,5,4,gpt-5-mini-2025-08-07,1091,1075
51,11,2,5,5,6,2,4,3,2,4,6,3,3,3,2,3,3,4,5,6,6,gpt-5-mini-2025-08-07,899,1075
52,11,3,4,4,6,2,3,2,4,5,6,6,3,3,2,3,2,4,5,6,5,gpt-5-mini-2025-08-07,982,1075
53,1,0,4,5,6,5,3,2,4,7,5,4,6,4,7,4,3,3,5,5,6,gpt-5-nano-2025-08-07,1560,1173
54,1,1,4,5,6,5,3,3,2,6,6,4,7,5,7,4,3,4,6,6,7,gpt-5-nano-2025-08-07,1560,1173
55,1,2,4,6,6,4,3,2,3,5,5,5,6,5,7,4,3,3,5,6,5,gpt-5-nano-2025-08-07,1368,1173
56,1,3,5,5,6,5,3,4,3,6,5,4,6,5,6,4,3,4,5,6,5,gpt-5-nano-2025-08-07,1752,1173
57,12,0,7,5,7,5,4,3,6,8,6,5,3,4,5,3,3,3,8,9,7,gpt-5-mini-2025-08-07,854,1310
58,12,1,7,6,7,6,3,4,5,8,7,5,4,6,5,3,3,3,8,8,7,gpt-5-mini-2025-08-07,918,1310
59,12,2,7,6,7,6,4,3,5,8,7,6,4,7,6,3,3,3,8,9,7,gpt-5-mini-2025-08-07,854,1310
60,12,3,7,6,7,5,4,4,5,8,6,5,5,5,6,3,3,5,8,9,7,gpt-5-mini-2025-08-07,918,1310
61,13,0,5,3,5,5,6,6,5,5,4,2,6,4,5,5,4,7,6,6,7,gpt-5-mini-2025-08-07,918,1370
62,13,1,5,3,4,5,6,6,5,6,4,3,6,5,6,5,4,7,7,7,7,gpt-5-mini-2025-08-07,790,1370
63,13,2,4,3,4,6,6,6,4,5,3,2,6,5,6,5,3,7,6,6,6,gpt-5-mini-2025-08-07,982,1370
64,13,3,5,3,4,4,6,7,6,5,4,3,5,3,3,4,4,7,6,6,7,gpt-5-mini-2025-08-07,918,1370
65,14,0,7,3,3,8,5,6,6,7,3,2,8,8,8,5,4,6,5,6,7,gpt-5-mini-2025-08-07,918,1705
66,14,1,7,3,3,8,6,6,6,7,3,2,7,7,8,4,4,7,6,7,8,gpt-5-mini-2025-08-07,771,1705
67,14,2,7,4,3,8,5,3,5,6,3,2,8,7,7,5,3,5,6,6,7,gpt-5-mini-2025-08-07,918,1705
68,14,3,7,3,3,8,4,5,6,7,3,2,7,7,7,4,3,6,7,7,6,gpt-5-mini-2025-08-07,1046,1705
69,15,0,3,3,5,4,2,2,3,4,5,2,6,4,6,4,2,3,5,4,5,gpt-5-mini-2025-08-07,1046,800
70,15,1,4,3,4,5,3,3,3,4,4,3,6,5,6,5,3,3,4,5,4,gpt-5-mini-2025-08-07,854,800
71,15,2,2,2,3,4,3,2,2,3,3,2,5,4,6,4,3,3,5,4,3,gpt-5-mini-2025-08-07,1174,800
72,15,3,3,3,4,4,4,2,3,5,4,2,6,4,6,4,3,4,5,5,5,gpt-5-mini-2025-08-07,1046,800
73,16,0,4,3,5,5,2,6,3,3,5,3,3,4,6,2,2,3,6,5,6,gpt-5-mini-2025-08-07,1046,602
74,16,1,4,4,5,4,4,7,3,4,4,3,5,4,7,3,2,3,6,6,5,gpt-5-mini-2025-08-07,918,602
75,16,2,4,3,2,4,2,3,4,3,2,2,3,4,6,2,2,2,6,5,6,gpt-5-mini-2025-08-07,1110,602
76,16,3,2,4,5,4,2,2,3,3,4,3,3,3,6,3,2,2,5,5,5,gpt-5-mini-2025-08-07,982,602
77,17,0,7,5,5,5,5,3,7,9,3,6,3,4,3,3,4,4,5,7,6,gpt-5-mini-2025-08-07,1046,1184
78,17,1,7,6,7,5,5,3,8,9,3,6,3,5,3,3,4,4,5,7,6,gpt-5-mini-2025-08-07,1046,1184
79,17,2,8,5,5,4,5,5,7,9,4,5,3,5,3,3,4,5,6,6,6,gpt-5-mini-2025-08-07,982,1184
80,17,3,7,6,5,5,5,2,8,8,4,4,3,5,3,3,4,4,5,6,6,gpt-5-mini-2025-08-07,918,1184
81,18,0,7,3,4,3,6,6,6,6,3,3,5,5,4,5,4,6,5,6,6,gpt-5-mini-2025-08-07,982,1008
82,18,1,7,3,5,3,5,5,6,7,3,3,4,5,5,4,4,7,5,7,7,gpt-5-mini-2025-08-07,982,1008
83,18,2,7,3,3,3,4,7,6,7,3,2,5,5,6,4,3,7,5,6,6,gpt-5-mini-2025-08-07,854,1008
84,18,3,8,3,4,4,4,6,6,7,4,3,5,6,5,3,3,6,5,6,6,gpt-5-mini-2025-08-07,982,1008
85,2,0,7,4,4,4,3,2,3,6,4,3,5,5,3,5,2,5,7,7,7,gpt-5-nano-2025-08-07,1751,1184
86,2,1,5,5,5,6,3,3,4,6,4,4,4,5,2,4,3,5,5,6,6,gpt-5-nano-2025-08-07,1518,1184
87,2,2,4,4,5,5,3,2,5,5,5,3,4,4,2,6,3,6,7,8,7,gpt-5-nano-2025-08-07,1645,1184
88,2,3,4,4,5,5,3,2,4,4,5,4,4,5,2,4,2,3,6,7,8,gpt-5-nano-2025-08-07,1389,1184
89,3,0,7,4,5,6,3,5,4,8,5,3,3,6,3,4,2,5,7,8,7,gpt-5-nano-2025-08-07,1879,1315
90,3,1,8,3,5,3,3,4,5,7,5,3,2,5,3,4,2,4,6,8,7,gpt-5-nano-2025-08-07,1558,1315
91,3,2,9,4,5,6,4,7,5,8,5,4,2,6,3,4,3,5,6,7,6,gpt-5-nano-2025-08-07,1688,1315
92,3,3,7,4,6,5,3,6,5,8,6,3,2,6,3,4,3,5,7,7,6,gpt-5-nano-2025-08-07,1454,1315
93,19,0,3,7,7,5,3,2,2,6,7,6,5,5,3,4,3,3,4,6,5,gpt-5-mini-2025-08-07,918,799
94,19,1,3,7,7,4,3,2,3,4,7,6,5,5,3,4,3,3,5,5,4,gpt-5-mini-2025-08-07,918,799
95,19,2,3,8,7,5,4,2,2,6,7,7,4,5,4,4,3,3,4,5,3,gpt-5-mini-2025-08-07,855,799
96,19,3,3,7,7,5,3,2,3,5,7,6,5,6,3,4,3,4,4,4,3,gpt-5-mini-2025-08-07,1110,799
97,4,0,5,7,7,8,4,5,3,5,6,6,7,7,7,5,3,7,8,7,7,gpt-5-nano-2025-08-07,1878,847
98,4,1,6,6,6,8,4,5,4,6,6,5,5,7,7,6,3,6,8,7,7,gpt-5-nano-2025-08-07,1624,847
99,4,2,4,6,6,7,4,3,3,5,5,4,4,7,7,5,4,5,8,7,7,gpt-5-nano-2025-08-07,1496,847
100,4,3,4,7,7,8,4,5,4,5,6,5,7,5,8,6,4,5,7,7,6,gpt-5-nano-2025-08-07,1478,847
105,5,0,6,4,5,4,2,3,3,6,4,3,5,5,2,4,2,3,6,8,6,gpt-5-nano-2025-08-07,1622,1517
106,5,1,5,4,5,4,3,2,3,6,5,3,3,5,2,4,3,5,6,7,7,gpt-5-nano-2025-08-07,1112,1517
107,5,2,6,5,6,5,3,2,4,6,6,5,3,5,3,4,3,4,7,8,7,gpt-5-nano-2025-08-07,1454,1517
108,5,3,6,5,6,4,3,3,4,7,6,4,5,5,3,3,3,5,7,7,7,gpt-5-nano-2025-08-07,1432,1517
113,6,0,7,5,6,4,4,8,6,7,5,4,4,4,3,4,3,6,4,6,6,gpt-5-nano-2025-08-07,1688,1311
114,6,1,8,5,6,4,5,7,6,8,6,4,5,5,6,4,4,5,4,6,6,gpt-5-nano-2025-08-07,1752,1311
115,6,2,8,4,4,5,4,7,7,8,4,3,6,5,6,4,3,6,5,5,6,gpt-5-nano-2025-08-07,1368,1311
116,6,3,8,5,7,4,5,7,7,8,7,5,5,5,6,4,3,7,6,7,7,gpt-5-nano-2025-08-07,1774,1311
1240,234,0,4,4,6,4,5,2,3,5,6,4,5,5,2,6,5,6,6,3,6,gpt-5-mini-2025-08-07,854,1080
1241,234,1,3,4,5,4,5,2,3,4,5,3,5,5,3,5,4,5,7,6,7,gpt-5-mini-2025-08-07,982,1080
1242,234,2,4,4,6,3,5,2,3,4,6,3,5,5,2,5,4,6,6,3,6,gpt-5-mini-2025-08-07,982,1080
1247,235,0,6,3,6,5,4,8,5,6,6,3,7,4,7,3,3,7,8,7,8,gpt-5-mini-2025-08-07,1110,1403
1248,235,1,7,3,5,6,5,7,5,6,4,3,7,6,7,4,3,6,8,8,8,gpt-5-mini-2025-08-07,982,1403
1249,235,2,6,4,7,6,4,6,4,6,6,3,7,5,7,3,3,6,8,7,7,gpt-5-mini-2025-08-07,1046,1403
1254,236,0,7,6,6,3,6,5,5,8,5,4,2,3,3,6,6,6,5,6,7,gpt-5-mini-2025-08-07,1110,972
1255,236,1,7,4,5,3,6,6,6,7,5,3,2,3,2,5,6,7,5,6,6,gpt-5-mini-2025-08-07,918,972
1256,236,2,7,5,6,3,7,5,6,8,6,3,2,3,2,6,7,7,6,7,7,gpt-5-mini-2025-08-07,1046,972
1261,237,0,5,5,6,7,7,6,3,6,5,3,8,7,6,6,5,7,6,4,7,gpt-5-mini-2025-08-07,1027,991
1262,237,1,3,5,6,6,7,3,2,5,6,4,7,6,5,6,5,7,5,4,7,gpt-5-mini-2025-08-07,918,991
1263,237,2,5,5,6,7,7,6,3,5,6,4,8,7,6,7,6,7,5,4,7,gpt-5-mini-2025-08-07,1174,991
1268,238,0,5,3,3,6,5,4,5,5,3,2,6,6,6,3,3,6,8,8,8,gpt-5-mini-2025-08-07,982,1279
1269,238,1,6,4,3,7,5,5,4,6,3,2,5,7,7,3,3,5,7,7,8,gpt-5-mini-2025-08-07,854,1279
1270,238,2,7,3,3,7,5,6,5,5,3,2,6,6,6,3,4,6,8,8,8,gpt-5-mini-2025-08-07,835,1279
1283,239,0,3,5,6,7,2,4,6,3,6,4,7,7,8,3,2,4,6,6,5,gpt-5-mini-2025-08-07,982,1182
1284,239,1,3,5,5,7,2,3,5,4,4,3,7,7,8,3,2,3,6,5,5,gpt-5-mini-2025-08-07,982,1182
1285,239,2,3,4,5,7,3,4,6,3,5,4,7,7,8,4,3,3,7,7,6,gpt-5-mini-2025-08-07,1075,1182
1290,242,0,5,6,8,7,2,3,5,8,5,6,3,6,6,3,2,2,3,2,3,gpt-5-mini-2025-08-07,963,1497
1291,242,1,5,7,6,5,3,3,4,8,5,6,3,5,3,2,2,2,3,3,3,gpt-5-mini-2025-08-07,1046,1497
101,20,0,6,3,4,3,6,7,6,8,4,3,3,4,2,3,4,6,8,8,8,gpt-5-mini-2025-08-07,1046,1253
102,20,1,6,3,5,3,6,6,6,7,5,3,3,3,4,3,5,6,8,8,7,gpt-5-mini-2025-08-07,963,1253
103,20,2,7,3,4,2,6,6,5,6,3,2,4,3,3,3,4,7,8,8,7,gpt-5-mini-2025-08-07,918,1253
104,20,3,7,3,3,2,5,7,6,6,3,2,4,3,4,3,3,6,7,8,7,gpt-5-mini-2025-08-07,790,1253
109,21,0,3,5,6,3,6,3,4,3,5,4,7,4,3,5,4,6,7,8,8,gpt-5-mini-2025-08-07,982,1044
110,21,1,3,5,6,3,5,4,4,4,6,4,6,5,3,4,4,5,7,8,7,gpt-5-mini-2025-08-07,1110,1044
111,21,2,4,5,6,4,6,3,5,5,5,4,6,5,4,5,5,7,7,7,8,gpt-5-mini-2025-08-07,854,1044
112,21,3,3,5,6,4,6,4,4,4,6,4,6,5,4,5,5,7,7,8,8,gpt-5-mini-2025-08-07,982,1044
117,7,0,7,6,5,5,3,3,4,6,5,4,3,5,4,4,3,4,5,6,5,gpt-5-nano-2025-08-07,1496,1236
118,7,1,6,5,3,5,2,3,3,6,3,4,2,4,4,4,2,4,5,6,5,gpt-5-nano-2025-08-07,1688,1236
119,7,2,7,6,4,7,4,3,4,6,4,4,2,6,4,4,3,3,4,7,6,gpt-5-nano-2025-08-07,1496,1236
120,7,3,7,6,5,5,3,3,3,6,4,4,2,6,3,5,2,4,6,8,7,gpt-5-nano-2025-08-07,2072,1236
121,22,0,5,7,8,5,8,6,6,6,8,5,6,6,6,4,7,8,9,8,9,gpt-5-mini-2025-08-07,982,1210
122,22,1,6,4,8,5,8,6,5,5,8,4,6,6,6,4,7,8,9,7,8,gpt-5-mini-2025-08-07,1046,1210
123,22,2,5,3,8,6,8,6,5,5,7,4,6,6,6,3,8,8,9,8,8,gpt-5-mini-2025-08-07,982,1210
124,22,3,5,5,7,5,8,6,3,5,8,3,6,6,6,3,7,8,9,8,9,gpt-5-mini-2025-08-07,982,1210
125,8,0,6,4,4,4,3,3,5,5,4,4,3,4,3,3,3,4,5,4,3,gpt-5-nano-2025-08-07,1560,977
126,8,1,4,5,3,6,2,3,4,4,3,3,3,5,3,3,2,2,4,3,2,gpt-5-nano-2025-08-07,1837,977
127,8,2,5,6,3,7,2,2,4,4,3,3,2,5,4,2,2,3,4,3,3,gpt-5-nano-2025-08-07,1752,977
128,8,3,4,5,3,7,2,2,4,3,3,5,2,6,2,2,2,3,5,3,3,gpt-5-nano-2025-08-07,1368,977
129,73,0,3,6,7,7,2,2,2,4,7,4,3,6,4,3,2,3,8,5,6,gpt-5-mini-2025-08-07,1046,707
130,73,1,3,5,6,6,2,2,2,4,6,3,2,6,5,2,2,2,8,5,6,gpt-5-mini-2025-08-07,1046,707
131,73,2,2,6,7,6,3,2,2,5,6,4,2,6,3,3,2,2,8,6,7,gpt-5-mini-2025-08-07,1110,707
132,73,3,3,6,7,6,2,2,2,5,6,3,3,6,5,3,2,2,8,6,7,gpt-5-mini-2025-08-07,982,707
133,9,0,5,5,4,6,4,4,3,5,4,4,6,7,6,4,3,7,8,7,8,gpt-5-nano-2025-08-07,1750,982
134,9,1,7,4,5,6,3,7,4,5,4,5,6,6,7,4,3,6,8,7,8,gpt-5-nano-2025-08-07,1902,982
135,9,2,5,5,5,6,5,4,3,4,4,4,5,6,3,4,4,7,9,7,9,gpt-5-nano-2025-08-07,1715,982
136,9,3,5,4,5,4,4,4,3,4,5,4,3,5,3,3,3,6,8,7,8,gpt-5-nano-2025-08-07,1624,982
137,74,0,6,3,3,6,3,6,3,5,3,2,5,6,6,3,5,3,5,6,5,gpt-5-mini-2025-08-07,1046,1611
138,74,1,6,3,2,7,2,7,4,7,2,2,5,6,8,3,3,2,4,5,5,gpt-5-mini-2025-08-07,1110,1611
139,74,2,6,2,3,6,3,7,3,5,2,2,6,5,7,3,5,4,4,6,5,gpt-5-mini-2025-08-07,1347,1611
140,74,3,6,2,3,7,3,6,3,5,2,2,5,6,7,3,4,2,4,5,5,gpt-5-mini-2025-08-07,1302,1611
141,10,0,5,3,4,5,7,3,4,6,4,4,4,4,5,4,6,6,7,7,7,gpt-5-nano-2025-08-07,1368,966
142,10,1,4,4,6,6,7,3,3,5,5,5,7,5,5,4,7,7,7,7,7,gpt-5-nano-2025-08-07,2157,966
143,10,2,3,5,5,5,7,2,3,6,5,4,6,5,5,5,5,6,7,7,6,gpt-5-nano-2025-08-07,1779,966
144,10,3,4,4,4,5,6,3,3,5,4,3,5,4,4,5,5,6,8,7,8,gpt-5-nano-2025-08-07,1432,966
149,11,0,6,7,7,2,2,4,3,6,7,8,3,3,2,3,2,3,5,5,5,gpt-5-nano-2025-08-07,1369,1075
150,11,1,4,6,5,3,2,3,3,5,5,6,2,3,2,3,2,3,6,7,6,gpt-5-nano-2025-08-07,1197,1075
151,11,2,5,6,6,3,3,2,3,5,6,6,2,4,2,4,2,4,6,5,4,gpt-5-nano-2025-08-07,1389,1075
152,11,3,6,5,6,3,2,2,3,5,6,6,2,3,2,3,2,3,5,7,6,gpt-5-nano-2025-08-07,1624,1075
153,12,0,8,6,7,7,3,4,5,9,7,5,2,7,5,4,3,4,6,8,8,gpt-5-nano-2025-08-07,1645,1310
154,12,1,7,7,6,6,4,4,5,8,6,7,3,7,3,4,3,4,7,8,6,gpt-5-nano-2025-08-07,1496,1310
155,12,2,6,6,6,6,3,3,4,7,5,7,3,6,3,4,4,6,8,8,7,gpt-5-nano-2025-08-07,1497,1310
156,12,3,6,5,6,7,3,2,4,7,5,5,3,6,4,4,3,5,8,8,8,gpt-5-nano-2025-08-07,1005,1310
161,13,0,3,4,5,5,5,4,4,5,4,5,6,5,4,5,3,5,5,6,6,gpt-5-nano-2025-08-07,1432,1370
162,13,1,5,4,5,4,6,4,5,5,5,4,3,4,4,4,3,6,7,7,7,gpt-5-nano-2025-08-07,1496,1370
163,13,2,4,5,5,4,5,3,5,5,5,4,3,3,4,5,3,6,6,6,6,gpt-5-nano-2025-08-07,1494,1370
164,13,3,4,4,5,5,5,3,3,4,4,4,4,6,5,4,3,6,6,5,6,gpt-5-nano-2025-08-07,1261,1370
169,14,0,7,6,3,7,4,3,5,7,3,3,6,7,7,5,3,4,5,6,6,gpt-5-nano-2025-08-07,1262,1705
170,14,1,7,4,3,9,3,3,4,7,3,3,9,9,8,4,2,4,6,7,6,gpt-5-nano-2025-08-07,1688,1705
171,14,2,8,4,4,7,4,4,3,6,3,3,7,7,7,3,3,5,7,7,6,gpt-5-nano-2025-08-07,1430,1705
172,14,3,7,3,6,7,4,5,4,7,5,3,5,7,6,4,3,5,6,7,7,gpt-5-nano-2025-08-07,1517,1705
177,15,0,4,3,5,4,2,2,3,5,5,3,5,4,5,3,2,3,4,4,5,gpt-5-nano-2025-08-07,1453,800
178,15,1,4,5,5,4,3,2,3,5,6,3,5,5,6,4,3,3,5,4,5,gpt-5-nano-2025-08-07,1496,800
179,15,2,3,4,7,4,2,2,2,5,7,5,3,4,7,3,2,3,6,6,5,gpt-5-nano-2025-08-07,2200,800
180,15,3,3,5,5,4,3,2,3,4,5,4,6,4,6,3,2,3,5,4,5,gpt-5-nano-2025-08-07,1907,800
181,16,0,3,4,5,3,2,2,3,3,5,4,2,4,2,3,2,2,5,6,5,gpt-5-nano-2025-08-07,1645,602
182,16,1,3,4,5,3,2,2,2,4,5,3,2,3,5,2,2,2,6,6,3,gpt-5-nano-2025-08-07,1774,602
183,16,2,5,6,6,3,2,2,3,4,7,5,3,4,2,3,2,4,6,5,5,gpt-5-nano-2025-08-07,1496,602
184,16,3,3,6,7,4,2,2,2,5,7,6,3,5,4,3,2,2,5,5,5,gpt-5-nano-2025-08-07,1625,602
1243,235,0,6,4,4,5,6,5,4,4,4,4,6,5,7,4,3,5,8,8,6,gpt-5-nano-2025-08-07,1518,1403
1244,235,1,5,5,6,6,6,4,4,5,6,5,6,6,7,5,4,7,8,8,7,gpt-5-nano-2025-08-07,1582,1403
1245,235,2,6,3,5,5,4,6,3,4,5,4,7,6,6,3,2,5,7,7,6,gpt-5-nano-2025-08-07,1624,1403
1246,235,3,5,4,5,5,6,4,3,4,4,4,7,5,7,4,3,6,8,8,8,gpt-5-nano-2025-08-07,2006,1403
145,23,0,4,5,6,7,8,3,4,5,6,5,8,7,7,6,8,7,4,6,6,gpt-5-mini-2025-08-07,854,930
146,23,1,6,6,6,7,8,3,4,5,6,5,7,6,7,6,8,8,6,6,7,gpt-5-mini-2025-08-07,982,930
147,23,2,4,5,6,6,8,2,3,4,5,4,6,5,6,5,8,7,5,6,5,gpt-5-mini-2025-08-07,1046,930
148,23,3,5,6,6,6,9,3,3,6,6,5,7,6,7,5,8,8,6,6,7,gpt-5-mini-2025-08-07,982,930
157,24,0,5,4,5,5,6,6,6,5,4,4,7,7,7,3,5,6,7,6,7,gpt-5-mini-2025-08-07,1155,1175
158,24,1,5,3,5,6,4,6,6,5,5,3,7,7,7,3,3,6,7,7,7,gpt-5-mini-2025-08-07,819,1175
159,24,2,4,5,5,6,4,6,6,4,4,4,6,6,7,3,3,6,7,6,7,gpt-5-mini-2025-08-07,1110,1175
160,24,3,4,3,4,5,4,5,6,4,3,3,6,5,6,3,3,5,6,6,7,gpt-5-mini-2025-08-07,1046,1175
165,25,0,3,7,7,6,6,2,2,5,7,7,7,6,3,5,5,6,6,7,7,gpt-5-mini-2025-08-07,854,1389
166,25,1,4,7,7,7,7,2,2,6,6,7,7,7,4,6,6,6,7,7,8,gpt-5-mini-2025-08-07,982,1389
167,25,2,3,6,6,6,7,2,3,5,5,5,7,7,3,6,6,6,7,7,7,gpt-5-mini-2025-08-07,790,1389
168,25,3,4,6,7,7,6,2,2,6,7,7,7,7,3,5,6,6,6,8,8,gpt-5-mini-2025-08-07,918,1389
173,26,0,6,5,7,5,7,5,4,6,6,4,6,4,5,5,5,7,8,7,8,gpt-5-mini-2025-08-07,918,1046
174,26,1,5,6,7,5,7,5,3,5,7,4,6,6,5,5,5,7,7,7,7,gpt-5-mini-2025-08-07,1046,1046
175,26,2,6,6,7,5,7,6,5,6,7,5,7,5,5,5,5,7,8,7,7,gpt-5-mini-2025-08-07,1110,1046
176,26,3,5,6,6,5,7,3,3,6,6,5,7,5,6,5,4,7,7,7,7,gpt-5-mini-2025-08-07,982,1046
185,27,0,3,5,6,7,3,2,3,3,6,5,7,7,7,4,2,3,5,3,5,gpt-5-mini-2025-08-07,854,702
186,27,1,3,5,6,6,2,3,3,3,5,5,7,7,7,4,2,4,4,3,5,gpt-5-mini-2025-08-07,1174,702
187,27,2,2,5,6,6,4,4,3,3,5,3,7,7,8,4,3,4,6,2,5,gpt-5-mini-2025-08-07,1174,702
